Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Bigamy / Polygamy ,1,9,8,14,15,10,16,18,15,13,8,8,135
Divorce ,0,0,0,0,2,1,1,0,2,0,4,0,10
Dowry Death ,18,28,21,37,39,37,58,45,28,38,37,45,431
Dowry Harassment / Cruelty to married women ,59,74,76,106,117,84,139,103,84,110,64,88,1104
Harassment At WorkplacetdCleck Here to see sub-categories ,105,147,117,221,258,86,159,200,130,196,137,206,1962
Kidnapping / Abduction ,7,7,7,13,14,7,11,7,6,11,8,4,102
Maintenance Claim ,0,1,1,3,1,1,7,1,6,2,2,1,26
Miscellaneous ,105,102,98,115,150,92,172,138,88,117,111,113,1401
Murder ,13,21,8,14,18,14,24,17,9,8,15,22,183
Outraging Modesty of Women ,6,1,0,16,16,12,12,12,2,8,4,0,89
Police Apathy against women ,29,29,30,57,51,47,83,82,55,100,71,103,737
RapetdCleck Here to see sub-categories ,11,13,8,20,19,13,16,31,18,27,15,20,211
Right to live with dignitytdCleck Here to see sub-categories ,51,35,34,45,55,55,105,12,6,29,74,13,514
Sex selective abortion / female foeticide / amniocentesis ,0,0,0,1,0,0,1,0,0,0,0,0,2
Sexual harassment including sexual harassment at workplacetdCleck Here to see sub-categories ,5,10,18,3,9,8,14,12,11,9,11,12,122
Shelter & Rehabilitation of Victims ,0,0,0,0,0,0,0,0,0,1,0,0,1
Women's right of custody of children in the event of divorce ,0,0,0,0,0,1,0,0,0,2,0,0,3
Total ,410,477,426,665,764,468,818,678,460,671,561,635,7033
