ref_area,indicator,source,sex,classif1,time,obs_value,obs_status
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_TOTAL,2020,9845.535,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_A,2020,4169.823,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_B,2020,18.77,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_C,2020,789.587,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_DE,2020,8.711,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_F,2020,979.94,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_G,2020,1083.822,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_HJ,2020,622.822,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_I,2020,43.67,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_K,2020,9.26,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_LMN,2020,87.349,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_O,2020,611.511,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_P,2020,81.476,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_Q,2020,1042.773,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_DETAILS_RSTU,2020,296.02,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_TOTAL,2020,7786.565,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_A,2020,2834.953,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_B,2020,18.281,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_C,2020,285.811,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_DE,2020,8.38,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_F,2020,972.982,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_G,2020,1073.534,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_HJ,2020,614.953,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_I,2020,42.61,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_K,2020,8.932,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_LMN,2020,83.404,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_O,2020,595.568,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_P,2020,73.974,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_Q,2020,938.259,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_DETAILS_RSTU,2020,234.923,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_TOTAL,2020,2058.97,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_A,2020,1334.87,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_B,2020,0.489,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_C,2020,503.776,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_DE,2020,0.331,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_F,2020,6.958,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_G,2020,10.288,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_HJ,2020,7.869,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_I,2020,1.06,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_K,2020,0.328,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_LMN,2020,3.945,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_O,2020,15.943,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_P,2020,7.502,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_Q,2020,104.514,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_F,ECO_DETAILS_RSTU,2020,61.098,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_AGGREGATE_AGR,2020,4169.823,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_AGGREGATE_MAN,2020,789.587,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_AGGREGATE_CON,2020,979.94,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_AGGREGATE_MEL,2020,27.481,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_AGGREGATE_MKT,2020,1846.923,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_T,ECO_AGGREGATE_PUB,2020,2031.781,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_AGGREGATE_AGR,2020,2834.953,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_AGGREGATE_MAN,2020,285.811,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_AGGREGATE_CON,2020,972.982,
AFG,EMP_2EMP_SEX_ECO_NB,XA:2198,SEX_M,ECO_AGGREGATE_MEL,2020,26.661,
