,index,GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,CAMEOCodeDescription,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL,title
0,72,896050132,19200101,192001,1920,1920.0027,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,81," Ease administrative sanctions, not specified below",81,8,2,5.0,4,1,4,-4.95356037151703,0,,,,,,,,4,"Surat, Gujarat, India",IN,IN09,70127,20.9667,72.9,-2098110,4,"Surat, Gujarat, India",IN,IN09,70127.0,20.9667,72.9,-2098110,20200101001500,https://timesofindia.indiatimes.com/city/surat/who-killed-dishit-wife-two-others-set-to-walk-free/articleshow/73052213.cms,who killed dishit wife two others set to walk free
1,11452,896059553,19200101,192001,1920,1920.0027,,,,,,,,,,,USA,UNITED STATES,USA,,,,,,,,0,42, Make a visit,42,4,1,1.9,1,1,1,-2.7748872702046503,0,,,,,,,,3,"Chicago, Illinois, United States",US,USIL,IL031,41.85,-87.6501,423587,4,"Calcutta, West Bengal, India",IN,IN28,70294.0,22.5697,88.3697,-2092511,20200101010000,https://www.sheltonherald.com/news/crime/article/Lawsuit-Famed-Jesuit-abused-boy-1-000-times-14940594.php,Lawsuit Famed Jesuit abused boy 1 000 times 14940594
2,23149,896077202,19200101,192001,1920,1920.0027,,,,,,,,,,,COP,POLICE,,,,,,COP,,,1,36, Express intent to meet or negotiate,36,3,1,4.0,4,1,4,-5.0,0,,,,,,,,4,"Muzaffarnagar, Uttar Pradesh, India",IN,IN36,17929,29.4667,77.6833,-2105244,4,"Muzaffarnagar, Uttar Pradesh, India",IN,IN36,17929.0,29.4667,77.6833,-2105244,20200101041500,http://www.canindia.com/caa-protests-shia-cleric-kalbe-jawad-to-meet-families-of-victims/,caa protests shia cleric kalbe jawad to meet families of victims
3,30812,896087593,19200101,192001,1920,1920.0027,GOV,GOVERNOR,,,,,,GOV,,,,,,,,,,,,,0,141, Demonstrate or rally,141,14,3,-6.5,2,1,2,-2.0874751491053702,4,"Kannur, Kerala, India",IN,IN13,17698,11.8667,75.3653,-2092528,0,,,,,,,,5,"Kerala, Kerala, India",IN,IN13,17699.0,10.0,76.5,-2100307,20200101063000,https://www.business-standard.com/article/pti-stories/entry-of-2-young-women-in-sabarimala-rahul-gandhi-ls-win-120010100247_1.html,entry of 2 young women in sabarimala rahul gandhi ls win 120010100247 1
4,31666,896088447,19200101,192001,1920,1920.0027,GOV,MINIST,,,,,,GOV,,,,,,,,,,,,,0,112," Accuse, not specified below",112,11,3,-2.0,6,1,6,-3.9867109634551503,1,India,IN,IN,,20.0,77.0,IN,0,,,,,,,,1,India,IN,IN,,20.0,77.0,IN,20200101064500,https://thehimalayantimes.com/nepal/minister-gokul-prasad-baskota-pledges-to-book-guilty-in-nirmalas-rape-murder/,minister gokul prasad baskota pledges to book guilty in nirmalas rape murder
5,37969,896097676,19200101,192001,1920,1920.0027,GOV,GOVERNOR,,,,,,GOV,,,IND,KERALA,IND,,,,,,,,0,173," Arrest, detain, or charge with legal action ",173,17,4,-5.0,2,1,2,-2.02117420596728,4,"Kannur, Kerala, India",IN,IN13,17698,11.8667,75.3653,-2092528,4,"Palakkad, Kerala, India",IN,IN13,17867,10.7725,76.6514,-2106856,4,"Kannur, Kerala, India",IN,IN13,17698.0,11.8667,75.3653,-2092528,20200101084500,https://www.financialexpress.com/india-news/kerala-2019-entry-of-2-young-women-in-sabarimala-rahul-gandhi-lok-sabha-win-floods-made-the-year-eventful/1809429/,kerala 2019 entry of 2 young women in sabarimala rahul gandhi lok sabha win floods made the year eventful
6,42602,896109265,19200101,192001,1920,1920.0027,,,,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,0,42, Make a visit,42,4,1,1.9,14,1,14,-4.05425940902239,0,,,,,,,,4,"Delhi, Delhi, India",IN,IN07,17911,28.6667,77.2167,-2094230,4,"Delhi, Delhi, India",IN,IN07,17911.0,28.6667,77.2167,-2094230,20200101110000,https://www.orissapost.com/businessman-shoots-wife-daughter-dead-then-kills-himself-on-yamuna-expressway/,businessman shoots wife daughter dead then kills himself on yamuna expressway
7,42604,896109267,19200101,192001,1920,1920.0027,,,,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,0,42, Make a visit,42,4,1,1.9,4,1,4,-3.80622837370242,0,,,,,,,,4,"Yamuna, India (general), India",IN,IN00,70270,25.5,81.8833,-2114824,4,"Yamuna, India (general), India",IN,IN00,70270.0,25.5,81.8833,-2114824,20200101110000,https://www.orissapost.com/businessman-wife-daughter-found-dead-inside-car-on-yamuna-expressway/,businessman wife daughter found dead inside car on yamuna expressway
8,44586,896106262,19200101,192001,1920,1920.0027,,,,,,,,,,,HLH,DOCTOR,,,,,,HLH,,,0,20," Appeal, not specified below",20,2,1,3.0,10,1,10,-6.89655172413794,0,,,,,,,,4,"Bandra, Maharashtra, India",IN,IN16,70184,19.0667,72.8333,82619,4,"Bandra, Maharashtra, India",IN,IN16,70184.0,19.0667,72.8333,82619,20200101103000,https://www.mid-day.com/articles/bandra-horror-60-year-old-inserts-candles-in-womans-private-parts-rapes-her/22360164,bandra horror 60 year old inserts candles in womans private parts rapes her
9,50596,896108286,19200101,192001,1920,1920.0027,IND,THIRUVANANTHAPURAM,IND,,,,,,,,,,,,,,,,,,1,128, Veto ,128,12,3,-5.0,1,1,1,-2.16748768472906,4,"Kannur, Kerala, India",IN,IN13,17698,11.8667,75.3653,-2092528,0,,,,,,,,5,"Karnataka, Karnataka, India",IN,IN19,17688.0,13.5,76.0,-2099860,20200101104500,http://news.statetimes.in/entry-of-2-young-women-in-sabarimala-rahul-gandhi-ls-win-floods-made-2019-eventful-yr-in-kerala/,entry of 2 young women in sabarimala rahul gandhi ls win floods made 2019 eventful yr in kerala
