State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,0,0,0,0,1,0,0,0,0,1
Andhra Pradesh ,5,4,2,6,3,0,5,2,4,2,1,5,39
Assam ,2,0,0,2,2,0,1,1,0,3,0,1,12
Bihar ,30,20,28,18,32,9,42,66,34,36,15,12,342
Chandigarh ,0,1,0,0,1,0,2,1,1,1,1,2,10
Chhattisgarh ,1,0,1,1,1,1,5,6,4,2,0,3,25
Delhi ,55,57,72,77,112,66,101,102,104,78,37,38,899
Goa ,0,0,1,1,1,0,1,4,0,1,0,0,9
Gujarat ,1,1,2,0,1,1,2,7,0,4,0,2,21
Haryana ,13,22,18,20,21,21,37,31,28,29,13,20,273
Himachal Pradesh ,2,4,2,2,5,1,5,2,2,1,2,2,30
Jammu and Kashmir ,1,0,0,0,0,0,1,3,0,2,1,0,8
Jharkhand ,5,8,8,6,16,6,15,14,12,5,1,5,101
Karnataka ,2,1,1,3,1,3,4,5,2,1,0,1,24
Kerala ,1,1,2,4,4,2,1,3,2,1,0,3,24
Ladakh ,1,0,0,1,0,0,0,0,0,0,0,0,2
Madhya Pradesh ,32,21,31,19,40,17,36,39,39,39,9,20,342
Maharashtra ,11,12,18,9,9,9,6,18,12,14,4,5,127
Manipur ,0,0,0,0,1,0,0,1,0,0,0,0,2
Meghalaya ,0,0,1,0,0,0,0,1,1,1,0,0,4
Odisha ,4,5,5,1,5,0,4,1,4,1,1,2,33
Pondicherry ,0,0,1,1,0,0,0,1,0,0,0,0,3
Punjab ,9,6,7,4,3,3,11,9,2,5,1,5,65
Rajasthan ,12,19,21,12,22,9,25,38,43,28,15,15,259
Tamil Nadu ,2,9,7,4,4,3,3,12,0,5,0,2,51
Telangana ,0,2,0,3,0,0,1,4,1,0,1,1,13
Tripura ,1,2,0,0,0,0,0,1,0,0,0,0,4
Uttar Pradesh ,109,151,203,143,259,98,201,313,234,269,93,141,2214
Uttarakhand ,24,19,19,17,36,17,23,35,27,28,7,15,267
West Bengal ,9,11,6,1,5,4,3,10,6,2,2,5,64
Total ,332,376,456,355,584,270,535,731,562,558,204,305,5268
