State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,1,2,1,0,1,1,0,0,0,1,7
Andhra Pradesh ,5,10,11,8,7,6,6,5,6,3,9,5,81
Arunachal Pradesh ,0,0,0,0,1,1,0,0,0,0,1,1,4
Assam ,2,3,8,1,4,4,4,1,4,4,2,3,40
Bihar ,22,34,34,27,33,44,58,39,41,27,36,40,435
Chandigarh ,0,0,1,1,0,0,1,0,0,0,5,4,12
Chhattisgarh ,5,3,7,5,7,5,18,5,7,9,4,6,81
Dadra and Nagar Haveli ,0,1,0,0,0,0,0,0,0,1,0,1,3
Daman & Diu ,0,0,1,1,0,0,0,0,0,0,0,0,2
Delhi ,161,191,190,174,198,227,244,197,173,172,164,167,2258
Goa ,0,1,0,1,0,3,1,0,0,0,0,1,7
Gujarat ,9,18,9,10,13,2,9,13,8,11,8,11,121
Haryana ,42,67,65,53,67,72,81,42,69,42,36,57,693
Himachal Pradesh ,4,5,6,5,5,1,12,6,2,3,5,4,58
Jammu and Kashmir ,2,2,2,0,3,3,2,3,0,5,2,3,27
Jharkhand ,8,16,19,15,8,27,30,9,15,14,9,13,183
Karnataka ,6,16,18,7,9,9,13,6,5,6,12,9,116
Kerala ,0,1,3,1,2,1,3,2,1,1,5,3,23
Madhya Pradesh ,25,56,41,39,46,61,73,61,43,49,65,48,607
Maharashtra ,30,39,33,29,36,26,38,33,25,35,43,43,410
Manipur ,0,0,0,0,0,0,0,0,0,0,1,0,1
Meghalaya ,1,2,0,1,0,1,1,1,1,2,0,1,11
Mizoram ,0,0,1,1,0,1,0,0,0,0,0,0,3
Nagaland ,0,0,0,2,0,0,0,0,0,0,0,0,2
Odisha ,5,6,11,5,3,4,4,8,4,5,2,4,61
Pondicherry ,1,2,3,1,0,0,2,2,0,0,0,1,12
Punjab ,16,14,20,15,14,12,27,21,23,13,19,25,219
Rajasthan ,71,68,89,64,72,115,162,142,156,86,119,99,1243
Sikkim ,0,0,2,0,0,1,1,0,0,0,1,0,5
Tamil Nadu ,18,31,25,13,19,12,27,9,11,14,14,12,205
Telangana ,2,9,10,1,4,7,5,7,3,1,1,4,54
Tripura ,0,0,0,1,0,0,2,0,0,1,1,0,5
Uttar Pradesh ,579,535,536,684,730,1018,1146,732,716,663,698,809,8846
Uttarakhand ,19,26,21,16,29,34,26,31,21,30,12,24,289
West Bengal ,14,11,10,13,17,14,20,10,12,9,8,15,153
Total ,1047,1167,1177,1196,1328,1711,2017,1386,1346,1206,1282,1414,16277
