State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,1,0,0,0,0,1,3,0,2,2,9
Andhra Pradesh ,11,6,10,9,11,8,10,7,11,18,10,5,116
Arunachal Pradesh ,0,0,2,1,3,0,0,0,1,4,1,0,12
Assam ,2,3,3,5,1,3,4,0,1,6,3,1,32
Bihar ,41,27,36,37,65,47,33,40,31,38,55,41,491
Chandigarh ,2,3,5,2,1,0,2,0,5,0,1,1,22
Chhattisgarh ,18,7,9,6,8,3,10,9,9,15,9,14,117
Daman & Diu ,0,0,1,1,1,0,0,1,0,0,1,0,5
Delhi ,179,167,208,166,260,197,212,263,206,221,184,170,2433
Goa ,0,1,1,1,2,0,0,0,2,0,0,0,7
Gujarat ,12,6,10,6,6,6,11,15,9,10,9,9,109
Haryana ,66,56,76,76,89,76,67,85,81,80,66,58,876
Himachal Pradesh ,3,3,8,1,7,4,6,6,5,7,3,1,54
Jammu and Kashmir ,4,3,2,3,1,4,0,2,3,2,1,1,26
Jharkhand ,24,6,20,15,18,19,20,15,19,14,14,16,200
Karnataka ,13,6,14,9,10,7,13,9,14,15,10,17,137
Kerala ,1,4,3,1,1,4,2,3,6,1,5,2,33
Lakshadweep ,0,0,0,0,0,0,0,0,0,1,0,0,1
Madhya Pradesh ,82,45,54,49,50,57,44,54,39,47,59,54,634
Maharashtra ,64,47,38,33,50,39,36,45,43,58,43,36,532
Manipur ,1,0,0,0,0,0,0,0,2,0,0,1,4
Meghalaya ,1,0,0,0,0,1,0,1,0,3,0,0,6
Mizoram ,1,0,0,0,0,0,0,1,0,0,0,0,2
Nagaland ,0,0,0,0,0,0,0,0,0,1,0,0,1
Odisha ,6,3,9,5,6,6,3,11,6,9,6,6,76
Pondicherry ,1,0,2,0,0,0,1,1,2,1,1,2,11
Punjab ,22,14,29,21,32,26,21,24,22,33,27,12,283
Rajasthan ,105,82,100,101,108,86,90,107,116,129,120,114,1258
Sikkim ,0,0,0,0,0,0,0,0,1,0,0,1,2
Tamil Nadu ,13,7,14,13,16,15,5,9,15,32,16,29,184
Telangana ,2,5,11,11,7,3,8,6,3,6,5,8,75
Tripura ,0,1,0,0,1,0,0,0,0,0,0,0,2
Uttar Pradesh ,664,486,626,507,780,708,780,758,702,763,766,705,8245
Uttarakhand ,36,17,27,25,32,34,31,27,15,27,28,24,323
West Bengal ,13,11,14,16,20,22,12,25,18,16,14,13,194
Total ,1387,1016,1333,1120,1586,1375,1421,1525,1390,1557,1459,1343,16512
