State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,1,0,1,0,0,1,0,0,0,2,0,5
Andhra Pradesh ,7,10,12,14,12,5,6,18,9,11,17,11,132
Arunachal Pradesh ,0,0,0,0,0,0,0,1,0,0,1,0,2
Assam ,3,6,6,6,3,6,3,6,2,2,4,4,51
Bihar ,37,52,59,80,60,79,49,64,50,40,128,52,750
Chandigarh ,3,3,3,10,2,3,2,4,3,2,7,6,48
Chhattisgarh ,5,20,10,10,9,5,8,4,8,9,11,5,104
Dadra and Nagar Haveli ,0,0,0,0,0,1,0,1,0,0,1,0,3
Delhi ,102,158,163,213,173,163,126,171,133,141,195,112,1850
Goa ,1,0,1,2,1,2,1,0,2,0,0,4,14
Gujarat ,6,10,6,10,8,16,9,16,7,11,18,7,124
Haryana ,62,82,114,122,128,108,77,83,81,91,215,76,1239
Himachal Pradesh ,3,4,5,2,2,4,6,4,4,6,10,1,51
Jammu and Kashmir ,5,4,1,4,4,1,2,4,2,4,1,5,37
Jharkhand ,18,15,17,23,17,22,10,15,12,11,37,13,210
Karnataka ,16,18,23,28,19,23,17,31,16,23,30,27,271
Kerala ,6,10,9,8,8,8,4,6,7,9,16,9,100
Madhya Pradesh ,36,41,36,71,53,36,27,44,45,26,81,39,535
Maharashtra ,31,58,37,68,51,53,24,51,40,60,75,48,596
Manipur ,0,1,0,0,1,0,0,2,0,0,0,0,4
Meghalaya ,0,0,0,0,0,0,0,2,0,0,1,0,3
Mizoram ,0,0,0,0,0,0,1,0,0,0,0,0,1
Nagaland ,0,0,0,0,1,0,0,0,0,0,0,0,1
Odisha ,4,8,7,12,10,5,5,8,5,5,8,1,78
Pondicherry ,0,1,2,1,2,2,0,1,1,1,2,0,13
Punjab ,18,23,21,34,32,21,25,24,12,23,42,10,285
Rajasthan ,42,68,83,93,82,67,65,61,55,53,122,30,821
Sikkim ,0,0,0,1,0,0,0,0,0,1,0,0,2
Tamil Nadu ,20,29,15,24,27,15,13,28,19,25,32,12,259
Telangana ,4,10,6,13,9,3,4,9,10,7,8,10,93
Tripura ,0,0,0,0,0,0,0,0,0,1,0,1,2
Uttar Pradesh ,536,849,1047,1358,1171,1013,655,716,699,733,2200,626,11603
Uttarakhand ,19,32,28,34,24,20,15,23,16,13,47,19,290
West Bengal ,20,22,33,40,26,22,37,25,21,27,28,30,331
Total ,1004,1535,1744,2282,1935,1703,1192,1422,1259,1335,3339,1158,19908
