State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,0,0,2,0,0,1,0,0,0,3
Andhra Pradesh ,0,7,0,5,9,6,4,9,7,2,6,8,63
Arunachal Pradesh ,0,0,0,0,0,1,0,0,0,0,1,0,2
Assam ,1,2,1,1,2,2,7,2,3,2,5,0,28
Bihar ,32,47,27,30,60,66,75,70,56,42,33,60,598
Chandigarh ,1,3,3,2,2,2,2,2,2,0,0,7,26
Chhattisgarh ,2,6,7,2,10,8,8,9,10,9,9,8,88
Dadra and Nagar Haveli ,0,0,0,0,0,2,0,0,0,0,1,0,3
Daman & Diu ,0,0,0,0,1,0,0,0,0,0,0,0,1
Delhi ,70,106,102,90,128,162,176,169,142,123,151,155,1574
Goa ,0,1,1,0,0,1,2,1,0,0,1,1,8
Gujarat ,0,3,3,3,5,6,6,5,10,9,4,8,62
Haryana ,25,29,28,30,44,62,52,55,67,56,69,63,580
Himachal Pradesh ,6,3,1,6,4,10,11,7,6,4,5,6,69
Jammu and Kashmir ,0,0,0,1,0,1,3,0,3,1,1,3,13
Jharkhand ,3,12,8,6,15,29,17,27,15,14,11,12,169
Karnataka ,1,3,3,1,11,3,4,6,4,4,4,8,52
Kerala ,0,3,0,1,2,2,1,1,0,4,1,7,22
Madhya Pradesh ,28,49,56,31,63,108,60,67,49,54,52,40,657
Maharashtra ,6,27,20,14,23,25,21,26,14,21,23,30,250
Manipur ,0,0,0,0,0,1,0,0,0,0,0,0,1
Meghalaya ,0,0,0,0,0,0,0,2,0,0,0,0,2
Mizoram ,0,0,0,1,0,0,0,0,0,0,0,1,2
Nagaland ,0,0,0,0,0,0,0,0,0,0,1,0,1
Odisha ,3,16,7,4,7,9,4,6,5,6,5,12,84
Pondicherry ,0,0,0,0,1,1,1,2,1,0,0,0,6
Punjab ,6,10,5,4,6,13,21,15,12,11,12,20,135
Rajasthan ,21,31,75,64,85,149,98,128,92,105,93,93,1034
Sikkim ,0,0,0,0,0,0,1,0,0,0,0,0,1
Tamil Nadu ,2,7,4,4,12,15,12,12,6,9,10,9,102
Telangana ,1,7,5,3,3,1,5,6,5,4,7,2,49
Tripura ,0,0,1,0,0,0,0,0,1,0,0,0,2
Uttar Pradesh ,249,403,317,296,497,732,653,418,418,437,500,581,5501
Uttarakhand ,19,29,13,13,33,23,35,24,29,23,28,35,304
West Bengal ,5,14,4,4,13,16,5,7,6,7,5,13,99
Total ,481,818,691,616,1036,1458,1284,1076,964,947,1038,1182,11591
