State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,1,0,1,0,0,0,0,0,0,0,0,0,2
Andhra Pradesh ,12,10,10,14,11,9,0,0,0,0,0,0,66
Assam ,5,2,7,10,6,4,0,0,0,0,0,0,34
Bihar ,49,51,52,54,78,42,0,0,0,0,0,0,326
Chandigarh ,3,1,4,3,2,1,0,0,0,0,0,0,14
Chhattisgarh ,9,10,5,17,7,7,0,0,0,0,0,0,55
Dadra and Nagar Haveli ,0,0,0,0,3,0,0,0,0,0,0,0,3
Daman & Diu ,0,0,0,0,1,1,0,0,0,0,0,0,2
Delhi ,132,104,154,128,217,108,0,0,0,0,0,0,843
Goa ,0,2,2,3,1,0,0,0,0,0,0,0,8
Gujarat ,8,14,14,15,16,11,0,0,0,0,0,0,78
Haryana ,73,77,76,40,73,37,0,0,0,0,0,0,376
Himachal Pradesh ,3,3,5,6,9,5,0,0,0,0,0,0,31
Jammu and Kashmir ,2,5,2,6,5,7,0,0,0,0,0,0,27
Jharkhand ,15,13,11,13,19,18,0,0,0,0,0,0,89
Karnataka ,27,23,26,35,56,28,0,0,0,0,0,0,195
Kerala ,6,5,6,10,23,6,0,0,0,0,0,0,56
Madhya Pradesh ,55,42,51,34,56,33,0,0,0,0,0,0,271
Maharashtra ,55,57,52,95,118,71,0,0,0,0,0,0,448
Manipur ,0,1,0,2,1,0,0,0,0,0,0,0,4
Meghalaya ,0,0,2,0,0,0,0,0,0,0,0,0,2
Odisha ,9,7,9,9,9,3,0,0,0,0,0,0,46
Pondicherry ,1,1,0,0,0,1,0,0,0,0,0,0,3
Punjab ,18,15,21,26,42,18,0,0,0,0,0,0,140
Rajasthan ,51,57,48,39,83,33,0,0,0,0,0,0,311
Tamil Nadu ,23,24,32,27,46,21,0,0,0,0,0,0,173
Telangana ,13,16,17,10,20,9,0,0,0,0,0,0,85
Tripura ,0,1,0,0,0,0,0,0,0,0,0,0,1
Uttar Pradesh ,851,847,699,159,530,355,0,0,0,0,0,0,3441
Uttarakhand ,17,17,17,9,21,10,0,0,0,0,0,0,91
West Bengal ,24,19,24,36,47,22,0,0,0,0,0,0,172
Total ,1462,1424,1347,800,1500,860,0,0,0,0,0,0,7393
