State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,2,2,1,0,0,1,3,1,0,4,14
Andhra Pradesh ,7,2,12,10,6,10,11,5,2,4,7,5,81
Arunachal Pradesh ,0,1,0,0,0,0,0,0,0,0,0,0,1
Assam ,4,3,6,3,4,2,5,3,4,3,2,1,40
Bihar ,55,32,45,35,29,28,41,27,22,21,25,38,398
Chandigarh ,0,2,1,0,3,4,1,4,3,6,0,0,24
Chhattisgarh ,18,9,7,5,10,6,9,9,7,4,5,6,95
Dadra and Nagar Haveli ,0,1,0,0,0,0,0,1,0,0,0,0,2
Delhi ,188,165,150,193,189,200,181,192,166,137,181,164,2106
Goa ,0,1,0,2,1,0,0,1,0,0,0,1,6
Gujarat ,9,1,10,12,6,15,14,11,13,9,9,8,117
Haryana ,61,65,63,75,80,97,70,51,55,56,50,47,770
Himachal Pradesh ,4,3,1,2,5,3,4,3,5,1,2,1,34
Jammu and Kashmir ,2,1,2,4,5,6,1,1,1,3,1,0,27
Jharkhand ,20,10,14,22,18,18,19,10,15,13,17,15,191
Karnataka ,10,10,11,9,8,8,8,5,10,10,5,6,100
Kerala ,3,6,3,1,3,2,3,4,3,1,2,5,36
Lakshadweep ,0,0,0,0,0,0,0,0,0,0,1,0,1
Madhya Pradesh ,61,43,45,52,43,55,41,35,28,25,26,26,480
Maharashtra ,51,28,31,19,25,23,25,15,23,13,18,23,294
Manipur ,0,1,0,0,0,0,0,0,3,0,0,1,5
Meghalaya ,1,0,1,1,0,1,2,0,2,0,1,0,9
Mizoram ,0,0,0,0,0,0,0,0,1,0,0,0,1
Nagaland ,0,0,0,0,0,0,1,0,0,1,1,0,3
Odisha ,11,4,4,8,11,12,4,0,4,3,8,2,71
Pondicherry ,0,0,1,0,1,0,1,0,0,1,0,0,4
Punjab ,27,10,13,24,30,20,19,23,17,17,22,11,233
Rajasthan ,125,93,79,88,91,133,103,100,54,46,63,47,1022
Sikkim ,1,0,0,0,0,1,0,0,1,1,0,0,4
Tamil Nadu ,21,16,17,16,28,14,12,15,6,13,8,18,184
Telangana ,4,4,4,10,5,12,5,1,7,3,2,1,58
Tripura ,0,2,0,0,0,0,1,0,0,1,1,0,5
Uttar Pradesh ,674,546,594,707,500,713,618,410,557,463,605,687,7074
Uttarakhand ,21,18,23,19,14,27,21,13,13,17,14,19,219
West Bengal ,21,10,11,14,19,10,13,7,11,9,15,19,159
Total ,1399,1087,1150,1333,1135,1420,1233,947,1036,882,1091,1155,13868
