State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,0,0,0,0,0,1,1,0,0,0,2
Andhra Pradesh ,11,7,8,9,15,15,4,16,9,3,7,10,114
Arunachal Pradesh ,1,0,0,0,0,0,0,1,0,0,0,0,2
Assam ,2,2,4,1,7,5,4,4,3,8,2,2,44
Bihar ,36,62,48,55,58,41,38,75,38,39,53,56,599
Chandigarh ,3,1,3,1,6,3,4,2,1,3,7,8,42
Chhattisgarh ,15,8,11,10,11,5,7,7,6,4,1,8,93
Dadra and Nagar Haveli ,0,0,0,0,0,2,2,0,0,0,0,0,4
Daman & Diu ,0,0,0,1,0,0,0,0,0,0,0,0,1
Delhi ,221,162,174,175,223,165,134,160,148,160,124,184,2030
Goa ,0,0,0,1,0,0,0,0,1,0,1,0,3
Gujarat ,6,12,6,7,10,7,16,8,4,10,5,8,99
Haryana ,100,84,81,66,117,95,83,126,53,57,83,112,1057
Himachal Pradesh ,4,3,3,3,4,5,1,2,2,2,3,2,34
Jammu and Kashmir ,0,1,8,4,3,3,3,5,1,0,2,5,35
Jharkhand ,14,20,25,15,25,17,11,21,9,13,10,13,193
Karnataka ,18,26,26,11,25,23,26,29,21,17,15,17,254
Kerala ,1,3,6,4,14,6,26,12,2,3,8,5,90
Madhya Pradesh ,72,54,61,71,60,47,31,47,29,22,40,49,583
Maharashtra ,54,27,40,37,120,57,40,42,46,38,28,41,570
Manipur ,0,0,0,0,0,0,0,0,0,0,0,1,1
Mizoram ,0,0,0,0,0,0,0,0,0,1,0,0,1
Nagaland ,0,0,0,0,0,0,0,1,0,0,0,0,1
Odisha ,8,9,11,11,22,10,10,6,10,5,2,11,115
Pondicherry ,0,1,2,2,3,1,1,0,0,2,3,0,15
Punjab ,28,22,24,19,73,18,22,22,22,24,8,28,310
Rajasthan ,86,78,64,70,78,63,39,88,46,49,40,76,777
Sikkim ,1,0,0,0,0,1,0,0,1,0,0,0,3
Tamil Nadu ,35,15,29,18,79,33,20,30,36,20,17,18,350
Telangana ,8,10,13,11,20,17,7,11,16,7,7,11,138
Tripura ,0,0,0,0,1,0,0,0,0,0,0,0,1
Uttar Pradesh ,1073,947,1151,910,1278,900,756,1035,488,610,793,1059,11000
Uttarakhand ,22,15,32,18,34,30,20,22,10,12,15,27,257
West Bengal ,30,22,21,18,33,17,25,20,24,19,16,25,270
Total ,1849,1591,1851,1548,2319,1586,1330,1793,1027,1128,1290,1776,19088
